brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,data_source,source_url,scraped_at
Aston Martin,Rapide,Luxe,luxe,https://www.carwale.com/aston-martin-cars/rapide/luxe/,Rs. 3.93 Crore,Petrol,Automatic,"5935 cc, 12 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,552 bhp,630 Nm,4,,Sedan,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/rapide/luxe/,2026-06-16 14:44:25
Aston Martin,Virage,Volante,volante,https://www.carwale.com/aston-martin-cars/virage/volante/,Rs. 1.45 Crore,Petrol,Automatic,5935 cc,,490bhp,570Nm,4,,Convertible,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/virage/volante/,2026-06-16 14:44:31
Audi,Q3,40 Tfsi Premium,40-tfsi-premium,https://www.carwale.com/audi-cars/q3/40-tfsi-premium/,Rs. 43.67 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",12.0 kmpl,188 bhp,320 Nm,5,6,Coupe,carwale,https://www.carwale.com/audi-cars/q3/40-tfsi-premium/,2026-06-16 14:44:34
Audi,Q3,40 Tfsi Premium Plus,40-tfsi-premium-plus,https://www.carwale.com/audi-cars/q3/40-tfsi-premium-plus/,Rs. 48.19 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",13.0 kmpl,188 bhp,320 Nm,5,6,Coupe,carwale,https://www.carwale.com/audi-cars/q3/40-tfsi-premium-plus/,2026-06-16 14:44:36
Audi,Q3,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q3/signature-edition/,Rs. 52.31 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q3/signature-edition/,2026-06-16 14:44:40
Audi,Q3,40 Tfsi Technology,40-tfsi-technology,https://www.carwale.com/audi-cars/q3/40-tfsi-technology/,Rs. 53.00 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q3/40-tfsi-technology/,2026-06-16 14:44:44
Audi,A4,Premium 40 Tfsi,premium-40-tfsi,https://www.carwale.com/audi-cars/a4/premium-40-tfsi/,Rs. 46.88 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",18.0 kmpl,201 bhp,320 Nm,5,8,Coupe,carwale,https://www.carwale.com/audi-cars/a4/premium-40-tfsi/,2026-06-16 14:44:47
Audi,A4,Premium Plus 40 Tfsi,premium-plus-40-tfsi,https://www.carwale.com/audi-cars/a4/premium-plus-40-tfsi/,Rs. 51.85 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",17.0 kmpl,201 bhp,320 Nm,5,8,Coupe,carwale,https://www.carwale.com/audi-cars/a4/premium-plus-40-tfsi/,2026-06-16 14:44:49
Audi,A4,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/a4/signature-edition/,Rs. 54.02 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",16.0 kmpl,201 bhp,320 Nm,5,8,Coupe,carwale,https://www.carwale.com/audi-cars/a4/signature-edition/,2026-06-16 14:44:51
Audi,A4,Technology 40 Tfsi,technology-40-tfsi,https://www.carwale.com/audi-cars/a4/technology-40-tfsi/,Rs. 55.83 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",16.0 kmpl,201 bhp,320 Nm,5,8,Coupe,carwale,https://www.carwale.com/audi-cars/a4/technology-40-tfsi/,2026-06-16 14:44:53
Audi,Q8,55 Tfsi Quattro,55-tfsi-quattro,https://www.carwale.com/audi-cars/q8/55-tfsi-quattro/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape",,335 bhp,500 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q8/55-tfsi-quattro/,2026-06-16 14:44:58
Audi,Q7,Premium Plus,premium-plus,https://www.carwale.com/audi-cars/q7/premium-plus/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,335 bhp,500 Nm,7,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q7/premium-plus/,2026-06-16 14:45:03
Audi,Q7,Bold Edition,bold-edition,https://www.carwale.com/audi-cars/q7/bold-edition/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,335 bhp,500 Nm,7,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q7/bold-edition/,2026-06-16 14:45:07
Audi,Q7,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q7/signature-edition/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,335 bhp,500 Nm,7,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q7/signature-edition/,2026-06-16 14:45:11
Audi,Q7,Technology,technology,https://www.carwale.com/audi-cars/q7/technology/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,335 bhp,500 Nm,7,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q7/technology/,2026-06-16 14:45:15
Audi,A6,Premium Plus 45 Tfsi,premium-plus-45-tfsi,https://www.carwale.com/audi-cars/a6/premium-plus-45-tfsi/,Rs. 64.81 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",15.0 kmpl,261 bhp,370 Nm,5,6,Sedan,carwale+cardekho,https://www.carwale.com/audi-cars/a6/premium-plus-45-tfsi/,2026-06-16 14:45:22
Audi,A6,Technology 45 Tfsi,technology-45-tfsi,https://www.carwale.com/audi-cars/a6/technology-45-tfsi/,Rs. 71.66 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",14.25 kmpl,261 bhp,370 Nm,5,6,Sedan,carwale+cardekho,https://www.carwale.com/audi-cars/a6/technology-45-tfsi/,2026-06-16 14:45:26
Audi,Rs5,Sportback,sportback,https://www.carwale.com/audi-cars/rs5/sportback/,Rs. 1.07 Crore,Petrol,Automatic,"2894 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",8.45 kmpl,444 bhp,600 Nm,5,6,Coupe,carwale,https://www.carwale.com/audi-cars/rs5/sportback/,2026-06-16 14:45:29
Audi,Q5,Premium Plus 45 Tfsi,premium-plus-45-tfsi,https://www.carwale.com/audi-cars/q5/premium-plus-45-tfsi/,Rs. 65.55 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,261 bhp,370 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q5/premium-plus-45-tfsi/,2026-06-16 14:45:35
Audi,Q5,Bold Edition,bold-edition,https://www.carwale.com/audi-cars/q5/bold-edition/,Rs. 69.80 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,261 bhp,370 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q5/bold-edition/,2026-06-16 14:45:39
Audi,Q5,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q5/signature-edition/,Rs. 69.86 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,261 bhp,370 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q5/signature-edition/,2026-06-16 14:45:43
Audi,Q5,Technology 45 Tfsi,technology-45-tfsi,https://www.carwale.com/audi-cars/q5/technology-45-tfsi/,Rs. 70.73 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,261 bhp,370 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q5/technology-45-tfsi/,2026-06-16 14:45:46
Audi,S5 Sportback,30 Tfsi Quattro,30-tfsi-quattro,https://www.carwale.com/audi-cars/s5-sportback/30-tfsi-quattro/,Rs. 1.07 Crore,Petrol,Automatic,"2994 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",10.0 kmpl,349 bhp,500 Nm,5,10,Coupe,carwale+cardekho,https://www.carwale.com/audi-cars/s5-sportback/30-tfsi-quattro/,2026-06-16 14:45:52
Audi,S5 Sportback,Platinum Edition,platinum-edition,https://www.carwale.com/audi-cars/s5-sportback/platinum-edition/,Rs. 1.07 Crore,Petrol,Automatic,"2994 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",10.5 kmpl,349 bhp,500 Nm,5,10,Coupe,carwale+cardekho,https://www.carwale.com/audi-cars/s5-sportback/platinum-edition/,2026-06-16 14:45:55
Audi,Q3 Sportback,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q3-sportback/signature-edition/,Rs. 53.55 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,193 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q3-sportback/signature-edition/,2026-06-16 14:46:01
Audi,Q3 Sportback,Bold Edition,bold-edition,https://www.carwale.com/audi-cars/q3-sportback/bold-edition/,Rs. 53.85 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,193 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q3-sportback/bold-edition/,2026-06-16 14:46:05
Audi,Q3 Sportback,Technology Plus S Line,technology-plus-s-line,https://www.carwale.com/audi-cars/q3-sportback/technology-plus-s-line/,Rs. 54.25 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,193 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q3-sportback/technology-plus-s-line/,2026-06-16 14:46:08
Audi,E Tron Gt,S,s,https://www.carwale.com/audi-cars/e-tron-gt/s/,Rs. 1.72 Crore,Electric,Automatic,,,522.99bhp,630 Nm,5,7,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/e-tron-gt/s/,2026-06-16 14:46:14
Audi,E Tron Gt,Rs,rs,https://www.carwale.com/audi-cars/e-tron-gt/rs/,Rs. 1.95 Crore,Electric,Automatic,,,522.99bhp,830 Nm,5,7,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/e-tron-gt/rs/,2026-06-16 14:46:17
Audi,Rs Q8 Performance,40L Tfsi,40l-tfsi,https://www.carwale.com/audi-cars/rs-q8-performance/40l-tfsi/,Rs. 2.38 Crore,Petrol,Automatic,"3996 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",9.0 kmpl,648 bhp,850 Nm,5,8,SUV,carwale,https://www.carwale.com/audi-cars/rs-q8-performance/40l-tfsi/,2026-06-16 14:46:21
Audi,A8 L,Celebration Edition,celebration-edition,https://www.carwale.com/audi-cars/a8-l/celebration-edition/,Rs. 1.27 Crore,Electric,Automatic,,,344 bhp,500 Nm,4,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/a8-l/celebration-edition/,2026-06-16 14:46:26
Audi,A8 L,Technology,technology,https://www.carwale.com/audi-cars/a8-l/technology/,Rs. 1.54 Crore,Electric,Automatic,,,344 bhp,500 Nm,4,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/a8-l/technology/,2026-06-16 14:46:30
Audi,Sq8,40 Petrol Turbo Automatic,40-petrol-turbo-automatic,https://www.carwale.com/audi-cars/sq8/40-petrol-turbo-automatic/,Rs. 1.78 Crore,Petrol,Automatic,"3996 cc, 8 Cylinders In V Shape",,500 bhp,770 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/sq8/40-petrol-turbo-automatic/,2026-06-16 14:46:35
Audi,E Tron Sportback,55,55,https://www.carwale.com/audi-cars/e-tron-sportback/55/,Rs. 1.20 Crore,Electric,Automatic,,,,664 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/e-tron-sportback/55/,2026-06-16 14:46:41
Audi,E Tron Sportback,55 Technology,55-technology,https://www.carwale.com/audi-cars/e-tron-sportback/55-technology/,Rs. 1.26 Crore,Electric,Automatic,,,,664 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/e-tron-sportback/55-technology/,2026-06-16 14:46:44
Audi,E Tron,50,50,https://www.carwale.com/audi-cars/e-tron/50/,Rs. 1.02 Crore,Electric,Automatic,,,300kW,540 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/e-tron/50/,2026-06-16 14:46:50
Audi,E Tron,55,55,https://www.carwale.com/audi-cars/e-tron/55/,Rs. 1.19 Crore,Electric,Automatic,,,300kW,664 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/e-tron/55/,2026-06-16 14:46:54
Audi,E Tron,55 Technology,55-technology,https://www.carwale.com/audi-cars/e-tron/55-technology/,Rs. 1.25 Crore,Electric,Automatic,,,300kW,664 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/e-tron/55-technology/,2026-06-16 14:46:57
Audi,Q8 E Tron,50,50,https://www.carwale.com/audi-cars/q8-e-tron/50/,Rs. 1.15 Crore,Electric,Automatic,,,402.3bhp,664 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q8-e-tron/50/,2026-06-16 14:47:03
Audi,Q8 E Tron,55,55,https://www.carwale.com/audi-cars/q8-e-tron/55/,Rs. 1.27 Crore,Electric,Automatic,,,402.3bhp,664 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q8-e-tron/55/,2026-06-16 14:47:06
Audi,Q8 Sportback E Tron,50,50,https://www.carwale.com/audi-cars/q8-sportback-e-tron/50/,Rs. 1.19 Crore,Electric,Automatic,,,402.3bhp,664 Nm,5,8,Sedan,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q8-sportback-e-tron/50/,2026-06-16 14:47:11
Audi,Q8 Sportback E Tron,55,55,https://www.carwale.com/audi-cars/q8-sportback-e-tron/55/,Rs. 1.32 Crore,Electric,Automatic,,,402.3bhp,664 Nm,5,8,Sedan,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q8-sportback-e-tron/55/,2026-06-16 14:47:15
Audi,Rs7 Sportback,40L Tfsi,40l-tfsi,https://www.carwale.com/audi-cars/rs7-sportback/40l-tfsi/,Rs. 2.23 Crore,Petrol,Automatic,"3996 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",8.7 kmpl,591 bhp,800 Nm,4,8,Coupe,carwale,https://www.carwale.com/audi-cars/rs7-sportback/40l-tfsi/,2026-06-16 14:47:25
Audi,A5,Sportback 35 Tdi,sportback-35-tdi,https://www.carwale.com/audi-cars/a5/sportback-35-tdi/,Rs. 55.44 Lakh,Diesel,Automatic,"1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,320 Nm,5,,Sedan,carwale+cardekho(partial),https://www.carwale.com/audi-cars/a5/sportback-35-tdi/,2026-06-16 14:47:31
Audi,A5,Sportback 40 Tdi,sportback-40-tdi,https://www.carwale.com/audi-cars/a5/sportback-40-tdi/,Rs. 60.62 Lakh,Diesel,Automatic,"1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,400 Nm,5,6,Sedan,carwale+cardekho(partial),https://www.carwale.com/audi-cars/a5/sportback-40-tdi/,2026-06-16 14:47:34
Audi,A5,S5,s5,https://www.carwale.com/audi-cars/a5/s5/,Rs. 72.66 Lakh,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,349 bhp,500 Nm,5,8,Sedan,carwale+cardekho(partial),https://www.carwale.com/audi-cars/a5/s5/,2026-06-16 14:47:38
Audi,New A3,Technology 35 Tfsi,technology-35-tfsi,https://www.carwale.com/audi-cars/new-a3/technology-35-tfsi/,Rs. 31.21 Lakh,Petrol,Automatic,2995 cc,,,,7,,Sedan,carwale+cardekho(partial),https://www.carwale.com/audi-cars/new-a3/technology-35-tfsi/,2026-06-16 14:47:43
Audi,New A3,Standard 35 Tfsi,standard-35-tfsi,https://www.carwale.com/audi-cars/new-a3/standard-35-tfsi/,Rs. 35.00 Lakh,Petrol,Automatic,2995 cc,,,,7,,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/new-a3/standard-35-tfsi/,2026-06-16 14:47:46
Audi,New A3,Premium 35 Tfsi,premium-35-tfsi,https://www.carwale.com/audi-cars/new-a3/premium-35-tfsi/,Rs. 35.00 Lakh,Petrol,Automatic,2995 cc,,,,7,,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/new-a3/premium-35-tfsi/,2026-06-16 14:47:50
Audi,New A3,Premium Plus 35 Tfsi,premium-plus-35-tfsi,https://www.carwale.com/audi-cars/new-a3/premium-plus-35-tfsi/,Rs. 5.50 Lakh,Petrol,Automatic,2995 cc,,,,7,,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/new-a3/premium-plus-35-tfsi/,2026-06-16 14:47:54
Audi,S6,40 Tfsi,40-tfsi,https://www.carwale.com/audi-cars/s6/40-tfsi/,Rs. 1.07 Crore,Petrol,Automatic,"3993 cc, 4 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,420 bhp,550 Nm,5,,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/s6/40-tfsi/,2026-06-16 14:47:59
Audi,S6,40 Tfsi 2013 2016,40-tfsi-2013-2016,https://www.carwale.com/audi-cars/s6/40-tfsi-2013-2016/,Rs. 1.07 Crore,Petrol,Automatic,"3993 cc, 4 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,420 bhp,550 Nm,5,,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/s6/40-tfsi-2013-2016/,2026-06-16 14:48:02
Audi,R8,52 V10,52-v10,https://www.carwale.com/audi-cars/r8/52-v10/,Rs. 2.30 Crore,Petrol,Manual,"5204 cc, 10 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",7.1 kmpl,533 bhp,540 Nm,2,,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/r8/52-v10/,2026-06-16 14:48:08
Audi,R8,52 V10 Plus,52-v10-plus,https://www.carwale.com/audi-cars/r8/52-v10-plus/,Rs. 2.72 Crore,Petrol,Automatic,"5204 cc, 10 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",6.71 kmpl,602 bhp,560 Nm,2,6,SUV,carwale,https://www.carwale.com/audi-cars/r8/52-v10-plus/,2026-06-16 14:48:10
Audi,Tt,45 Tfsi,45-tfsi,https://www.carwale.com/audi-cars/tt/45-tfsi/,Rs. 65.43 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,227 bhp,370 Nm,2,,Convertible,carwale+cardekho(partial),https://www.carwale.com/audi-cars/tt/45-tfsi/,2026-06-16 14:48:15
Audi,Q2,Standard 40 Tfsi Quattro,standard-40-tfsi-quattro,https://www.carwale.com/audi-cars/q2/standard-40-tfsi-quattro/,Rs. 35.00 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",15.0 kmpl,188 bhp,320 Nm,5,6,Coupe,carwale,https://www.carwale.com/audi-cars/q2/standard-40-tfsi-quattro/,2026-06-16 14:48:18
Audi,Q2,Standard 40 Tfsi Quattro With Sunroof,standard-40-tfsi-quattro-with-sunroof,https://www.carwale.com/audi-cars/q2/standard-40-tfsi-quattro-with-sunroof/,Rs. 36.50 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q2/standard-40-tfsi-quattro-with-sunroof/,2026-06-16 14:48:22
Audi,Q2,Premium 40 Tfsi Quattro,premium-40-tfsi-quattro,https://www.carwale.com/audi-cars/q2/premium-40-tfsi-quattro/,Rs. 40.90 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q2/premium-40-tfsi-quattro/,2026-06-16 14:48:26
Audi,Q2,Premium Plus I 40 Tfsi Quattro,premium-plus-i-40-tfsi-quattro,https://www.carwale.com/audi-cars/q2/premium-plus-i-40-tfsi-quattro/,Rs. 44.65 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q2/premium-plus-i-40-tfsi-quattro/,2026-06-16 14:48:29
Audi,Q2,Premium Plus Ii 40 Tfsi Quattro,premium-plus-ii-40-tfsi-quattro,https://www.carwale.com/audi-cars/q2/premium-plus-ii-40-tfsi-quattro/,Rs. 45.15 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q2/premium-plus-ii-40-tfsi-quattro/,2026-06-16 14:48:33
Audi,Q2,Technology 40 Tfsi Quattro,technology-40-tfsi-quattro,https://www.carwale.com/audi-cars/q2/technology-40-tfsi-quattro/,Rs. 48.90 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q2/technology-40-tfsi-quattro/,2026-06-16 14:48:37
BMW,2 Series Gran Coupe,218 M Sport,218-m-sport,https://www.carwale.com/bmw-cars/2-series-gran-coupe/218-m-sport/,Rs. 45.80 Lakh,Petrol,Automatic,"1499 cc, 4 Valves/Cylinder",,154 bhp,230 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/bmw-cars/2-series-gran-coupe/218-m-sport/,2026-06-16 14:48:42
BMW,2 Series Gran Coupe,218 M Sport Pro,218-m-sport-pro,https://www.carwale.com/bmw-cars/2-series-gran-coupe/218-m-sport-pro/,Rs. 48.20 Lakh,Petrol,Automatic,"1499 cc, 4 Valves/Cylinder",,154 bhp,230 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/bmw-cars/2-series-gran-coupe/218-m-sport-pro/,2026-06-16 14:48:46
BMW,M4,Competition,competition,https://www.carwale.com/bmw-cars/m4/competition/,Rs. 1.55 Crore,Petrol,Automatic,"2993 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC",10.0 kmpl,523 bhp,650 Nm,4,6,Coupe,carwale,https://www.carwale.com/bmw-cars/m4/competition/,2026-06-16 14:48:51
BMW,M4,Cs,cs,https://www.carwale.com/bmw-cars/m4/cs/,Rs. 1.79 Crore,Petrol,Automatic,"2993 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC",10.0 kmpl,543 bhp,650 Nm,4,6,Coupe,carwale,https://www.carwale.com/bmw-cars/m4/cs/,2026-06-16 14:48:53
